cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      solids-vof,solids-x-velocity,solids-y-velocity,  air-x-velocity,  air-y-velocity,           dp-dx,           dp-dy,           udm-x,           udm-y
       672, 6.350000000E-01, 1.500000000E-02, 5.000000000E-03, 9.094432870E-03, 9.467381640E-01, 1.852344187E+00, 6.753913483E+00, 5.927694965E+00,-1.748985808E+03, 2.123333089E+03, 1.075097436E+03, 7.544802644E+02
       673, 6.150000000E-01, 5.000000000E-03, 5.000000000E-03, 4.011542562E-04, 5.992601512E-01, 1.722780048E+00, 5.766409903E+00, 6.118222555E+00,-8.053291137E+02, 2.100389019E+03, 4.040241351E+01, 3.436836443E+01
       674, 6.250000000E-01, 1.500000000E-02, 5.000000000E-03, 1.584873451E-03, 7.528978991E-01, 1.982407363E+00, 6.585432294E+00, 6.346462891E+00,-9.757204891E+02, 2.026375109E+03, 1.880218124E+02, 1.406828617E+02
       675, 6.050000000E-01, 5.000000000E-03, 5.000000000E-03, 1.342685179E-04, 5.180088125E-01, 1.494638649E+00, 5.390123351E+00, 5.360925603E+00,-7.164300300E+02, 2.198585655E+03, 1.214084162E+01, 9.634415856E+00
       676, 6.150000000E-01, 1.500000000E-02, 5.000000000E-03, 4.534031458E-04, 6.289559883E-01, 1.731266776E+00, 6.268596703E+00, 5.694439290E+00,-8.625931040E+02, 2.021081744E+03, 5.029491255E+01, 3.534399177E+01
       677, 5.950000000E-01, 5.000000000E-03, 5.000000000E-03, 7.426636365E-05, 4.358387938E-01, 1.285484281E+00, 4.974430901E+00, 4.929847584E+00,-6.289219101E+02, 2.314222635E+03, 6.029705584E+00, 4.841685977E+00
       678, 6.050000000E-01, 1.500000000E-02, 5.000000000E-03, 1.946400525E-04, 5.360678043E-01, 1.503750533E+00, 5.837181553E+00, 4.971150331E+00,-8.152787713E+02, 2.137324565E+03, 1.934726173E+01, 1.265482965E+01
       679, 5.850000000E-01, 5.000000000E-03, 5.000000000E-03, 1.090538219E-04, 3.661076897E-01, 1.135282643E+00, 4.515926903E+00, 4.415527805E+00,-5.177041685E+02, 2.407258484E+03, 7.683831227E+00, 6.073722469E+00
       680, 5.950000000E-01, 1.500000000E-02, 5.000000000E-03, 1.141129851E-04, 4.322011173E-01, 1.280505005E+00, 5.309897852E+00, 4.425261456E+00,-7.470200897E+02, 2.291161941E+03, 9.941822806E+00, 6.409707922E+00
       681, 5.850000000E-01, 1.500000000E-02, 5.000000000E-03, 2.320309264E-04, 3.481177839E-01, 1.115989095E+00, 4.687306433E+00, 3.845941593E+00,-6.273476301E+02, 2.448567840E+03, 1.681136734E+01, 1.057668564E+01
       682, 6.350000000E-01, 2.500000000E-02, 5.000000000E-03, 7.149748621E-03, 1.017363515E+00, 1.921112667E+00, 7.304753253E+00, 5.861448587E+00,-1.662259104E+03, 2.098018958E+03, 9.347900226E+02, 5.858371847E+02
       683, 6.250000000E-01, 2.500000000E-02, 5.000000000E-03, 1.368982168E-03, 7.531928681E-01, 1.980586815E+00, 7.073680921E+00, 6.090456797E+00,-9.799325375E+02, 1.956502900E+03, 1.793823355E+02, 1.166425867E+02
       684, 6.150000000E-01, 2.500000000E-02, 5.000000000E-03, 5.410587323E-04, 6.513141928E-01, 1.720796756E+00, 6.730715032E+00, 5.279487347E+00,-8.969185902E+02, 1.875216667E+03, 6.550736429E+01, 3.834595663E+01
